"","no_anp","titulo","empresa_responsavel","demais_proponentes","qualificacao","objetivo","area","tema","subtema","empresa_petrolifera_executora","empresa_brasileira_executora","instituicao_executora","unidade_de_pesquisa_executora","n_autorizacao","data_inicio","prazo","valor_clausula","executor_1"
"306","20320-8","Testes de Colapso em Dutos Sob Pressão Externa","PETROBRAS","PETROBRAS","PESQUISA APLICADA","- Realizar ensaios de colapso plástico por pressão externa em 63 espécimes tubulares (ETs), os quais conterão rebaixos gerados por usinagem e/ou eletroerosão para simular defeitos de corrosão em suas superfícies externas.
- Realizar ensaios mecânicos de tração, compressão e impacto em corpos de prova retirados dos materiais dos tubos.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","ENGENHARIA DE POÇO","ESTABILIDADE DE POÇOS",NA,NA,"PUC-Rio","PUC-Rio - Laboratório de Sensores a Fibra óptica",NA,"28/12/2017",36,"R$ 6909456,22","PUC-Rio"
"307","20321-6","Potencial paleoecológico, bioestratigráfico e paleoambiental de hidrozoários (hidroides) fósseis do Aptiano da Bacia de Santos (Pré-Sal)","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Caracterização do conteúdo orgânico derivado de animais, mais especificamente aqueles relacionados ao grupo dos hidrozoários (hidroides), através da identificação, classificação, determinação da composição química, quantificação e investigação do potencial bioestratigráfico desse grupo de organismos em amostras do Aptiano da Bacia de Santos (Pré-Sal).","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES",NA,NA,"UFRJ","UFRJ - Laboratório de Palinofácies e Fácies Orgânica - LAFO",NA,"26/12/2017",36,"R$ 2467403,63","UFRJ"
"308","20322-4","Pesquisa, Desenvolvimento e Teste de Óleo Modelo Reologicamente Semelhante ao Óleo Real: Fase 2","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O objetivo geral do projeto é a continuação do projeto 2014/00599-2, aperfeiçoando a metodologia previamente desenvolvida para a mimetização de óleos reais e emulsões produzidas a partir desses óleos reais.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","MÉTODOS E PROCESSOS DE ESCOAMENTO",NA,NA,"PUC-Rio","PUC-Rio - Grupo de Reologia",NA,"28/12/2017",24,"R$ 1738763,85","PUC-Rio"
"309","20323-2","SIMULAÇÃO COMPUTACIONAL AVANÇADA DE OPERAÇÕES SUBMARINAS COM ROV","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Os objetivos são:

*	O desenvolvimento e consolidação de uma suíte de ferramentas que seja especializada no tratamento de modelos """"as-built"""" para uso em simuladores virtuais de operações.

*	Estudos sobre a aplicabilidade de feedbacks visuais especializados (visualização de propriedades físicas, por exemplo, esforços, contato, entre outras); e o uso de novas interfaces humano computador de controle ao invés da tradicional utilizada no sistema de controle master-slave tradicional.","ABASTECIMENTO","REFINO","AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA",NA,NA,"PUC-Rio","PUC-Rio - Instituto TECGRAF de Desenvolvimento de Software Técnico-Cientifíco da PUC-Rio",NA,"28/12/2017",24,"R$ 3438139,66","PUC-Rio"
"310","20324-0","Projeto simulador de treinamento de segurança operacional, projetos e processos para FPSO.","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O principal objetivo a ser alcançado é promover mudança de cultura dos empregados que atuam no setor de Petróleo e Gás Natural para uso efetivo de ferramentas 3D de automação de projetos, aumentando a qualidade e a confiabilidade na Construção e Montagem da Engenharia, através do esforço de mitigação das inconsistências na documentação de projeto básico e de detalhamento.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","AUTOMAÇÃO, CONTROLE E INSTRUMENTAÇÃO",NA,NA,"SENAI-RJ","SENAI-RJ - Centro de Tecnologia SENAI Automação e Simulação - Serviços de Simulação",NA,"29/12/2017",24,"R$ 1114854,47","SENAI-RJ"
"311","20325-7","Obtenção de Frações Ricas em Diamantóides do Petróleo Usando Sistemas Nanoporosos","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","Desenhar, sintetizar e testar novos materiais nanoporosos (COFs - Covalent Organic Framworks -, MOFs - Metal-organic Frameworks -, sílicas mesoporosas) visando seu uso como fase estacionária de modo a se obter frações enriquecidas em diamantóides, que são uma classe importante de marcadores moleculares de evolução térmica de petróleos.","TEMAS TRANSVERSAIS","MATERIAIS","NANOMATERIAIS",NA,NA,"UFRJ","UFRJ - Laboratório de Nanotecnologia (Interlab)",NA,"26/12/2017",24,"R$ 521995,02","UFRJ"
"312","20326-5","Avaliação de Impacto Ambiental de Atividades de Captura e Estocagem de Carbono no Brasil","SHELL","SHELL","PESQUISA EM MEIO AMBIENTE","O principal objetivo deste projeto é propor uma estrutura de Avaliação de Impacto Ambiental (EIA) no Brasil referente a captura de carbono e atividades de armazenamento (CCS) que considera: (i) perspectiva social e sua aceitação, bem como as restrições ambientais, e; (ii) análise jurídica e avaliação das atribuições institucionais.","TEMAS TRANSVERSAIS","SEGURANÇA E MEIO AMBIENTE","EMISSÕES DE GASES DE EFEITO ESTUFA NA INDÚSTRIA DE PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS","SHELL",NA,"USP","USP - CENTRO DE PESQUISA PARA INOVAÇÃO EM GÁS (RCGI)",NA,"04/09/2017",48,"R$ 2508111,83","USP"
"313","20327-3","Projeto de Ensaio em Modelos Reduzidos de Estruturas Oceânicas","PETROBRAS","PETROBRAS","PESQUISA APLICADA","A presente proposta trata da realização de pesquisa aplicada sobre o comportamento hidrodinâmico dos sistemas de exploração, transferência e transporte de petróleo no mar. Os objetivos destas pesquisas são suportar o desenvolvimento de novos conceitos e metodologias de análise hidrodinâmica dos sistemas de exploração offshore no mar visando à redução do risco de falhas, aumento da segurança operacional e melhoria no desempenho das operações. O trabalho vai ser desenvolvido no LabOceano da UFRJ.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","UNIDADES FLUTUANTES DE PRODUÇÃO, SISTEMAS DE ANCORAGEM E AMARRAÇÃO E POSICIONAMENTO DINÂMICO",NA,NA,"UFRJ","UFRJ - Laboratório de Tecnologia Oceânica - LabOceano",NA,"26/12/2017",34,"R$ 14957715,84","UFRJ"
"314","20328-1","Redução da estabilidade de emulsões água-óleo por deformação das gotas","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O objetivo geral do projeto é entender o efeito de solicitações cisalhantes e extensionais na estabilidade de emulsões de água em óleo, e, com este entendimento, avaliar maneiras de explorar este efeito para separar eficientemente as emulsões.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","MÉTODOS E PROCESSOS DE ESCOAMENTO",NA,NA,"PUC-Rio","PUC-Rio - Grupo de Reologia",NA,"28/12/2017",36,"R$ 5273895,97","PUC-Rio"
"315","20329-9","MODICARSTE - Modelagem e simulação multifísica de diagênese cárstica em escala de reservatório.","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O presente projeto tem como objetivo principal o desenvolvimento de uma abordagem baseada em processos para a compreensão dos mecanismos de formação de carstes, em diferentes escalas (poro, reservatório e bacia), através do estudo de interações físicas / químicas entre rocha e fluido, tensões e temperatura.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","GEOMECÂNICA/ESTABILIZAÇÃO DE POÇOS",NA,NA,"PUC-Rio","PUC-Rio - Instituto TECGRAF de Desenvolvimento de Software Técnico-Cientifíco da PUC-Rio",NA,"28/12/2017",24,"R$ 3069294,76","PUC-Rio"
"316","20330-7","Sistema avançado de visualização imersiva-interativa para a interpretação de modelos geológicos digitais (VizGEO)","PETROBRAS","PETROBRAS","PESQUISA APLICADA","#NOME?","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","TÉCNICAS DE AQUISIÇÃO, PROCESSAMENTO E INTERPRETAÇÃO DE DADOS GEOFÍSICOS",NA,NA,"UNISINOS","UNISINOS - GEOARQ",NA,"29/12/2017",24,"R$ 1065448,60","UNISINOS"
"317","20331-5","Projeto de desenvolvimento e melhoria da qualidade de componentes pultrudados e requisitos de inspeção","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Auxiliar com o proposto desenvolvimento, a melhoria da qualidade de estruturas leves baseadas em compósitos pultrudados reforçados por fibra de vidro, de forma a garantir a adequada performance deste tipo de material em suas aplicações, contribuindo para assegurar a continuidade de seu emprego em futuras construções """"offshore"""".","TEMAS TRANSVERSAIS","MATERIAIS","INTEGRIDADE ESTRUTURAL, SOLDAGEM E CARACTERIZAÇÃO DE MATERIAIS",NA,NA,"IPT","IPT - Instituto de Pesquisas Tecnológicas do Estado de SP SA - IPT",NA,"29/12/2017",48,"R$ 6111034,23","IPT"
"318","20332-3","CRAS - Climbing Robot for Advanced inSpection - Solução de Inspeção através de Robô Escalador para Superfícies Quentes e Ultrassom Phased-Array","PETROBRAS","PETROBRAS","PESQUISA BÁSICA","Prover uma solução de inspeção para equipamentos de superfícies quentes através de ensaios não destrutivos de ultrassom por phased-array para equipamentos em serviço.","TEMAS TRANSVERSAIS","AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE","AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA",NA,NA,"UTFPR","UTFPR - LASCA -  Laboratório de Automação e Sistemas de Controle Avançado",NA,"10/01/2018",36,"R$ 1998806,04","UTFPR"
"319","20333-1","Projeto Caracterização Multiescalar e Modelagem Diagenética Preditiva em Depósitos de Coquinas e Folhelhos Intercalados da Formação Morro do Chaves, Bacia Sergipe-Alagoas - Projeto """"CAMURES-Diagênese""""","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O PROJETO CAMURES DIAGÊNESE tem como objetivo compreender a distribuição espacial do sistema permo-poroso, a partir da Modelagem 3D Multiescalar do mesmo, bem como os seus controles diagenéticos, relacionados com a percolação de fluidos, desde a deposição e ao longo da evolução de soterramento dos intervalos de """"coquinas"""", intercalados em depósitos siliciclásticos arenosos e argilosos, da Formação Morro do Chaves, Bacia Sergipe-Alagoas (SE-AL), Nordeste do Brasil.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES",NA,NA,"UFMG","UFMG - Núcleo de Estratigrafia e Geologia do Petróleo",NA,"11/01/2018",24,"R$ 1378606,32","UFMG"
"320","20334-9","Desenvolvimento de infra-estrutura para suportar estudo de erosão em válvulas de fundo de poço","PETROBRAS","PETROBRAS","INFRAESTRUTURA","Adquirir equipamentos para a impressão 3D de válvulas de completação inteligente em resina e metal com propriedades diversas.As válvulas serão fabricadas em escala real (1:1) e serão utilizadas para a validação de modelos físico/matemáticos desenvolvidos no âmbito do projeto """"Disponibilização de Modelo para Previsão de Erosão em Válvulas de Fundo de Poço"""".Os modelos empíricos e mecanicistas combinados com simulações numéricas descrevem o fenômeno da erosão em válvulas de completação inteligente.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","MÉTODOS E PROCESSOS DE ESCOAMENTO",NA,NA,"UFRJ","UFRJ - LTEP - Laboratório de Tecnologia de Engenharia de Poços","0058/2018","03/09/2018",24,"R$ 6882538,11","UFRJ"
"321","20335-6","Síntese direta de DME a partir de CO2 - Infraestrutura (reforma e equipamentos)","PETROBRAS","PETROBRAS","INFRAESTRUTURA","O objetivo geral desta proposta adquirir e instalar partes de um sistema experimental para a realização de reações catalíticas em leito fixo e obter dados de conversão e rendimento da conversão de CO2 a DME.","TEMAS TRANSVERSAIS","MATERIAIS","NOVOS MATERIAIS",NA,NA,"UFC","UFC - Grupo de Pesquisas em Separações por Adsorção","0261/2018","27/07/2018",12,"R$ 538650,00","UFC"
"322","20336-4","Implantação de infraestrutura para o projeto de P&D """"Redução da estabilidade de emulsões água-óleo por deformação das gotas""""","PETROBRAS","PETROBRAS","INFRAESTRUTURA","Criar as condições de infraestrutura necessárias à execução do projeto 2017/00426-9.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","MÉTODOS E PROCESSOS DE ESCOAMENTO",NA,NA,"PUC-Rio","PUC-Rio - Grupo de Reologia","0377/2018","29/06/2018",12,"R$ 1475579,00","PUC-Rio"
"323","20337-2","Dissolução e fracionamento de materiais lignocelulósicos utilizando líquidos iônicos e solventes eutéticos naturais - Infraestrutura","PETROBRAS","PETROBRAS","INFRAESTRUTURA","Este projeto está vinculado ao TC especifico P&D 2017/00439-3, e tem como objetivo geral criar uma infraestrutura física e analítica para que este projeto vinculado consiga ser concretizado.","ABASTECIMENTO","PETROQUÍMICA DE 1ª E 2ª GERAÇÃO","POLÍMEROS BIODEGRADÁVEIS E BIOPOLÍMEROS",NA,NA,"UFRJ","UFRJ - BIOSE - Laboratório de Engenharia de Sistemas Biológicos","0661/2018","21/06/2019",12,"R$ 700337,16","UFRJ"
"324","20338-0","Centro de Petroleômica da UFG: novos horizontes para a indústria do petróleo","PETROBRAS","PETROBRAS","INFRAESTRUTURA","Implementar um centro de petroleômica na UFG e desenvolver novos métodos e protocolos de análise de petróleos e derivados pela aplicação de novos desenvolvimentos instrumentais de FT-ICR MS, o 7T SolariX 2XR. A ideia norteadora é realizar desenvolvimentos analíticos com finalidade de preencher lacunas que ainda persistem em petroleômica.","TEMAS TRANSVERSAIS","AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE","METODOLOGIAS E SISTEMAS DE CONTROLE DA QUALIDADE",NA,NA,"UFG","UFG - Instituto de Química","0089/2018","12/04/2018",24,"R$ 5833245,64","UFG"
"325","20339-8","Projeto de avaliação da influência da temperatura, da pressão e da vazão sobre o comportamento de fases de aditivos químicos utilizados por injeção via umbilical","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Este projeto tem por objetivo entender o comportamento de fases de aditivos químicos, que são utilizados nos campos de produção de petróleo por injeção via umbilical, em função das variáveis temperatura, pressão e vazão.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","MÉTODOS E PROCESSOS DE ESCOAMENTO",NA,NA,"UFRJ","UFRJ - Laboratório de Macromoléculas e Colóides na Indústria de Petróleo",NA,"20/12/2017",24,"R$ 1050160,22","UFRJ"
"326","20340-6","Simulação Acoplada do Efeito de Golfadas, onde será adaptado um simulador de escoamento multifásico para acoplamento a simuladores de dinâmica estrutural de risers","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Estudar o efeito dos parâmetros de escoamento padrão golfadas como comprimentos de bolhas e pistões, frações de vazio e pesos específicos dos fluidos no comportamento dinâmico de tubulações submarinas tipo risers.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","MÉTODOS E PROCESSOS DE ESCOAMENTO",NA,NA,"UNICAMP","UNICAMP - Centro de Estudos de Petróleo - CEPETRO",NA,"21/12/2017",24,"R$ 653719,14","UNICAMP"
"327","20341-4","Projeto de Desenvolvimento de fórmulas catalíticas AxMxW2-xO6 para reação de ODH do propano","PETROBRAS","PETROBRAS","PESQUISA BÁSICA","O projeto visa dar continuidade ao convênio 2012/00096-5: Catalisadores de desidrogenação oxidativa do propano. Entre os óxidos com melhor desempenho, os bronzes oriundo de K6HPV4W8O40 apresentaram uma seletividade em propeno acima de 80% para uma conversão de 20% na reação de ODH do propano. O objetivo do presente projeto é a preparação e avaliação de bronzes mistos AxMxW2-xO6 (M=V,Nb, 0<x<1) estáveis, com seletividade em propeno acima de 80% para conversões de propano maiores do que 30%.","TEMAS TRANSVERSAIS","MATERIAIS","NOVOS MATERIAIS",NA,NA,"UFRJ","UFRJ - Laboratório de Catálise de Oxidação - OXICAT",NA,"20/12/2017",18,"R$ 753344,76","UFRJ"
"328","20342-2","Análise Numérica e Experimental do Fluxo Monofásico em Meios Porosos Fraturados e Carstificados.","PETROBRAS","PETROBRAS","PESQUISA BÁSICA","Determinação numérica e experimental da permeabilidade efetiva de meios fraturados e carstificados através de solução da equação de Brinkman e experimentos em amostras de rochas carbonáticas e do efeito da pressão de confinamento.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","ENGENHARIA DE RESERVATÓRIO (SIMULAÇÃO DE FLUXO)",NA,NA,"PUC-Rio","PUC-Rio - Laboratório de microhidrodinâmica e escoamento em meios porosos",NA,"21/12/2017",24,"R$ 2700194,92","PUC-Rio"
"329","20343-0","Modelagem e simulação fluidodinâmica de um homogeneizador de fluxo em sistemas de bombeamento marinho S-BCSS com o uso do software OpenFOAM","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O escoamento em um  sistema de bombeamento centrífugo em leito marinho (S-BCSS) é muito complexo e traz problemas operacionais que diminuem a vida útil do equipamento. Pretende-se desenvolver um homogeneizador de fluxo que será acoplado ao S-BCSS visando melhorar o escoamento nesses sistemas. A Fluidodinâmica Computacional (CFD) será utilizada nesse projeto de pesquisa.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","TÉCNICAS E MÉTODOS DE ELEVAÇÃO ARTIFICIAL",NA,NA,"UNICAMP","UNICAMP - Centro de Estudos de Petróleo - CEPETRO",NA,"20/12/2017",24,"R$ 1075717,39","UNICAMP"
