Nº ANP;TITULO;EMPRESA RESPONSÁVEL;DEMAIS PROPONENTES;QUALIFICAÇÃO;OBJETIVO;ÁREA;TEMA;SUBTEMA;EXECUTOR 1;EXECUTOR 2;EXECUTOR 3;EXECUTOR 4;EXECUTOR 5;EXECUTOR 6;EXECUTOR 7;EXECUTOR 8;Nº AUTORIZAÇÃO;DATA INÍCIO;PRAZO;VALOR CLAUSULA
20407-3;"Desenvolvimento de Metodologias para Caracterização Automática de Partículas de Catalisadores FCC Utilizando o Equipamento ""MORPHOLOGI 3D""";PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Desenvolvimento de uma metodologia de caracterização morfométrica de catalisadores do processo FCC. A metodologia se baseará na captura de imagens em um microscópio ótico automatizado, e na criação de uma rotina de processamento e análise digital de imagens para identificar variações de forma nas partículas. Estas medidas serão correlacionadas com as perdas de catalisador e com as emissões de material particulado pela chaminé da unidade industrial.;ABASTECIMENTO;REFINO;SISTEMAS CATALÍTICOS;PUC-Rio - Grupo de Análise de Imagens e Microscopia Digital;;;;;;;;;08/03/2018;36; R$ 1,387,338.38 
20201-0;Experimento e simulação numérica para a avaliação da formação de borra em tanques de armazenamento de petróleo - Infra;PETROBRAS;;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;Aquisição de sistema experimental para estudo do escoamento no interior de tanques de armazenamento de petróleo e formação de borra composto por tanque um experimental com 3 impelidores laterais com sensores de torque, um equipamento de velocimetria por imagem de partículas PIV para medição dos fluxos do fluido e nós computacionais para realizar as simulações matemáticas com CFD utilizando os dados coletados.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;MÉTODOS E PROCESSOS DE ESCOAMENTO;UNICAMP - Centro de Estudos de Petróleo - CEPETRO;;;;;;;;0904/2017;20/03/2018;18; R$ 1,613,613.70 
20184-8;Projeto de Adequação de Infraestrutura Laboratorial para Avaliação de Propriedades Mecânicas e Integridade sob Hidrogenação em Amostras Miniaturas;PETROBRAS;;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;O presente projeto tem por objetivo adequar a infraestrutura física do LTAD/UFU, de forma que se possam avaliar propriedades mecânicas e integridade estrutural sob hidrogenação em amostras miniaturas.;TEMAS TRANSVERSAIS;MATERIAIS;TECNOLOGIA DE MATERIAIS;UFU - Laboratório de Tecnologia em Atrito e Desgaste;;;;;;;;0803/2017;19/03/2018;44; R$ 3,197,600.75 
20409-9;Aplicação de técnicas moleculares para elucidação e otimização de processos de biorremediação de solos contaminados por hidrocarbonetos e metais.;PETROBRAS;;PESQUISA EM MEIO AMBIENTE;O projeto apresenta como objetivo principal compreender a relação entre a dinâmica de biodegradação de contaminantes e a evolução das comunidades microbianas ao longo de processos de biorremediação de solos para abatimento de hidrocarbonetos e metais, de forma a otimizar tais processos (redução de tempo, aumento da eficiência e redução d3e custo).;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;REMEDIAÇÃO E RECUPERAÇÃO DE ÁREAS CONTAMINADAS E IMPACTADAS;CETEM - Serviço de Processos Minero-metalúrgicos e Biotecnológicos;;;;;;;;;23/03/2018;36; R$ 2,274,835.13 
20172-3;Infraestrutura atrelada ao processo sigitec 2017/00540-6 IDENTIFICAÇÃO DE MECANISMOS DE ATUAÇÃO DO CAMPO MAGNÉTICO NA MITIGAÇÃO DE INCRUSTAÇÕES INORGÂNICAS;PETROBRAS;;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;Adquirir por importação um equipamento/sistema de medidas magnéticas de alta precisão de materiais enanopartículas submeticas a altos campos magnéticos,  PPMS DynaCool 9 tesla Cryogen-free com os acessórios para o seu perfeito funcionamento.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;ENGENHARIA DE POÇO;AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA;CBPF - Laboratório de Magnetismo Aplicado (LMAG/EXP/CBPF);;;;;;;;0802/2017;23/03/2018;12; R$ 2,079,246.54 
20410-7;Modelagem cinemática direta de seções geológicas-estruturais (RECON).;PETROBRAS;;PESQUISA APLICADA;O objetivo deste projeto consiste no desenvolvimento de pesquisa e ferramentas computacionais relacionadas à restauração estrutural de forma a estender sua aplicação a duas áreas específicas da geologia do petróleo: (1) análise do relevo deposicional e (2) evolução térmica de bacias sedimentares. No primeiro caso a aplicação tem efeito direto na avaliação da distribuição da qualidade de reservatórios, e no segundo, nos processos de geração, migração e acumulação de petróleo.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES;PUC-Rio - Instituto TECGRAF de Desenvolvimento de Software Técnico-Cientifíco da PUC-Rio;;;;;;;;;26/03/2018;36; R$ 3,727,434.04 
20411-5;Estudo do monitoramento da condição de equipamentos dos processos das plataformas de petróleo;PETROBRAS;;PESQUISA APLICADA;O PROJETO TEM COMO OBJETIVO PRINCIPAL REVISAR, DESENVOLVER E IMPLEMENTAR UM SISTEMA COMPUTACIONAL PARA ACOMPANHAMENTO DA CONDIÇÃO DE PROCESSO INDUSTRIAL REAL DE INTERESSE DO SETOR DE ÓLEO E GÁS.;TEMAS TRANSVERSAIS;MATERIAIS;TECNOLOGIA DE MATERIAIS;UFRJ - Laboratório de Modelagem, Simulação e Controle de Processos - LMSCP - COPPE;;;;;;;;;28/03/2018;24; R$ 827,615.16 
20412-3;Projeto de P&D para Desenvolvimento de um Novo Mecanismo de Controle de Perda de Circulação Utilizando Campo Magnético e Polímeros Reticulantes.;PETROBRAS;;PESQUISA APLICADA;Contribuir para o entendimento do mecanismo de controle de perda de circulação em função da variação das propriedades magnetoreológicas e reocinéticas de uma nova linha de materiais inteligentes sintetizados para portar tais propriedades.  Sintetizar compósitos com propriedades magnéticas e reticulantes a fim de utiliza-los como materiais de combate a perda de circulação. Desenvolver um circuito experimental de teste para avaliar os materiais de combate a perda sob a ação de um campo magnético.;TEMAS TRANSVERSAIS;MATERIAIS;NOVOS MATERIAIS;UFRJ - Laboratório de Modelagem, Simulação e Controle de Processos - LMSCP - EQ;;;;;;;;;28/03/2018;36; R$ 3,188,556.32 
20413-1;APERFEIÇOAMENTO DO SIMULADOR PLUG DE HIDRATOS.;PETROBRAS;;PESQUISA BÁSICA;"O principal objetivo do software Plug de Hidrato é determinar numericamente o deslocamento de plugues de hidrato, a partir do repouso, devido à despressurização monolateral. 

Para alcançar este objetivo, o software resolve numericamente as equações de conservação de massa, quantidade de movimento linear e energia da fase gás ao longo de uma tubulação obstruída pela presença de um plugue de hidrato. Estas equações são resolvidas juntamente com a equação de balanço de forças no plugue.";EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;MÉTODOS E PROCESSOS DE ESCOAMENTO;PUC-Rio - Laboratório de Computação de Fenômenos de Transporte;;;;;;;;;29/03/2018;36; R$ 1,099,767.85 
20414-9;Desenvolvimento de técnicas de machine learning para identificação de facies, a partir de tomografia de raios x de rochas carbonáticas, em multiescala, para análise de escoamento de fluidos.;PETROBRAS;;PESQUISA APLICADA;O objetivo do projeto é o desenvolvimento de novas técnicas de identificação automática de fáceis geológicas de modelos digitais de rocha carbonáticas, obtidos a partir de tomografia computadorizada de raios x. De forma inovadora, serão desenvolvidos e avaliados diversos algoritmos de machine learning, para uma completa caracterização faceogeológica do arcabouço mineral da rocha.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;ENGENHARIA DE RESERVATÓRIO (SIMULAÇÃO DE FLUXO);UFRJ -  NTT- Núcleo de Transferência de Tecnologia;;;;;;;;;29/03/2018;36; R$ 4,726,881.22 
20415-6;Pesquisa e desenvolvimento em modelagem numérica para análises de estabilidade de poços e dimensionamento de revestimentos submetidos a carregamentos geomecânicos;PETROBRAS;;PESQUISA APLICADA;O objetivo geral deste projeto consiste em desenvolver soluções numéricas visando a integridade de poços em zonas de sal, desde sua perfuração ao abandono, permitindo a perfuração de poços com uso de peso de fluido adequado e dimensionamento de revestimentos submetidos a carregamentos geomecânicos complexos, notadamente decorrentes de fluência salina e efeitos de subsidência.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;ENGENHARIA DE POÇO;ESTABILIDADE DE POÇOS;PUC-Rio - Grupo de Tecnologia e Engenharia de Petroleo - GTEP;;;;;;;;;03/04/2018;36; R$ 11,173,557.16 
20153-3;Melhoria da infraestrutura laboratorial para o estudo da injetividade durante a injeção de polímeros em meios porosos.;PETROBRAS;;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;Adequação do Laboratório de Estudos Avançados em petróleo LEAP/UFRN (linha de pesquisa: Estudo laboratorial e modelagem matemática do transporte de suspensões e da injetividade).;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;RECUPERAÇÃO AVANÇADA DE PETRÓLEO;INJEÇÃO E GERENCIAMENTO DE ÁGUAS;UFRN - Laboratório de Estudos Avançados em Petróleo - LEAP;;;;;;;;0896/2017;29/03/2018;24; R$ 2,386,702.90 
20416-4;Reconstrução paleoclimática de alta-resolução do Aptiano superior: inferências a partir de Palinologia;PETROBRAS;;PESQUISA BÁSICA;Este projeto objetiva inferir o paleoclima a partir das relações entre grupos de palinomorfos do Aptiano superior das bacias sedimentares: Araripe, Barreirinhas, Bragança Viseu/São Luís, Espírito Santo, Pará/Maranhão, Parnaíba, Potiguar e Sergipe. Além disso, pretende-se discutir como a composição da flora e as variações das espécies indicadoras responderam às mudanças nas forçantes climáticas e paleoambientais (e.g. umidade, temperatura)e às variações relativas do nível de base/mar.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES;UFRJ - Museu Nacional - Laboratório de Paleoecologia Vegetal;;;;;;;;;29/03/2018;36; R$ 818,230.86 
20417-2;Sistema de Supervisão de Riscos em SMS;PETROBRAS;;PESQUISA APLICADA;O principal objetivo desse projeto é o desenvolvimento de um sistema baseado em câmeras para detectar e reportar ações que poderiam causar acidentes. O intuito desse sistema é aumentar o número de desvios e incidentes detectados, visando maior conscientização dos colaboradores quanto à segurança e melhorar os níveis de acidentes de trabalho em plataformas de petróleo. Espera-se o estudo, implementação e validação de técnicas de Video Analytics, Visão Computacional e reconhecimento de padrões.;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;INTEGRIDADE DE EQUIPAMENTOS E INSTALAÇÕES;IPE - Laboratório de Desenvolvimento de Soluções de Visão Computacional e Realidade Aumentada;;;;;;;;;05/04/2018;36; R$ 3,652,466.74 
20419-8;Integração de atributos de rocha e estratigráficos na avaliação de formações;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Desenvolver soluções tecnológicas para integração rocha perfil aplicáveis à avaliação de formações;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;PETROFÍSICA, PERFILAGEM DE POÇOS E AVALIAÇÃO DE FORMAÇÕES;PETROBRAS;;;;;;;;;11/01/2018;24; R$ 3,874,512.38 
20420-6;Propriedades Elásticas de Folhelhos com Baixo Teor de COT;PETROBRAS;;PESQUISA APLICADA;Avaliar a efetividade da aplicação dos modelos elásticos existentes na previsão das propriedades de folhelhos geradores com baixo teor de matéria orgânica.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE NOVOS ALGORITMOS;PETROBRAS;;;;;;;;;17/01/2018;24; R$ 1,798,805.32 
20421-4;Novas técnicas de avaliação de formações com ressonância magnética nuclear;PETROBRAS;;PESQUISA APLICADA;Desenvolvimento de técnicas e soluções tecnológicas para integração rocha perfil aplicáveis à avaliação de formações a partir de dados de ressonância magnética nuclear.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;PETROFÍSICA, PERFILAGEM DE POÇOS E AVALIAÇÃO DE FORMAÇÕES;PETROBRAS;;;;;;;;;17/01/2018;36; R$ 2,410,830.54 
20422-2;Petroacústica Multiescala de Carbonatos;PETROBRAS;;PESQUISA BÁSICA;Melhoria da caracterização petroacústica de rochas carbonáticas testando a teoria de Biot-Gassmann e a aplicabilidade de outros modelos em rochas do Pré-sal, com extensivo suporte de experimentos laboratoriais de caracterização petrofísica, composicional, elástica e sedimentológica das rochas.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;TÉCNICAS DE AQUISIÇÃO, PROCESSAMENTO E INTERPRETAÇÃO DE DADOS GEOFÍSICOS;PETROBRAS;;;;;;;;;15/01/2018;24; R$ 2,098,198.48 
20423-0;Pesquisa da Miscibilidade de Gases Ácidos com Fluidos de Reservatórios para Recuperação Melhorada de Petróleo;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Esta proposta visa implantar, identificar métodos de medição, desenvolver correlações das propriedades para previsão da Pressão Mínima de Miscibilidade (PMM) e realizar os estudos do inchamento de misturas de óleo com misturas de gás natural com alto teor de gás carbônico (CO2), importantes para os processos de injeção miscível de CO2, que é um dos métodos mais eficientes para recuperação avançada de petróleo.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;CARACTERIZAÇÃO E PROCESSAMENTO DE FLUIDOS PRODUZIDOS;UFRJ - LATCA - Laboratório de Termodinâmica e Cinética Aplicada ;;;;;;;;;09/04/2018;48; R$ 3,998,548.83 
20424-8;Monitoramento da distribuição de tamanho de gota e teor de água de emulsões de petróleo em sistema pressurizado a alta temperatura;PETROBRAS;;PESQUISA APLICADA;O objetivo geral da presente proposta consiste no desenvolvimento de metodologia para realizar o monitoramento on-line da distribuição de tamanho de gota (DTG) e do teor de água (TA) de emulsões de petróleo com baixo teor de água em sistemas pressurizados a alta temperatura empregando a espectroscopia na região do infravermelho próximo (NIR).;BIOCOMBUSTÍVEIS;BIODIESEL;PRODUÇÃO DE BIODIESEL;ITP - Núcleo de Estudos em Sistemas Coloidais;;;;;;;;;03/04/2018;36; R$ 1,014,708.28 
20425-5;INCORPORA como ferramenta de ajuste de histórico (TFRs + dados de produção);PETROBRAS;;PESQUISA APLICADA;Agregar funcionalidades ao INCORPORA, tornando-o uma ferramenta que permita o ajuste de histórico de dados diversos, não se restringindo somente a dados de pressão e perfis de produção.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;PETROFÍSICA, PERFILAGEM DE POÇOS E AVALIAÇÃO DE FORMAÇÕES;PETROBRAS;;;;;;;;;09/02/2018;12; R$ 574,596.00 
20026-1;Projeto de Melhoria de infraestrutura laboratorial para gestão tecnológica de gases ácidos em reservatórios visando a recuperação incrementada de petróleo;PETROBRAS;;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;Melhorar a infraestrutura laboratorial para gestão tecnológica de gases ácidos em reservatórios visando recuperação incrementada de petróleo, Adquirir equipamentos para medir propriedades necessárias para injeção miscível como Pressão mínima de miscibilidade  e a composição minima de miscibilidade complementando equipamentos em pleno funcionamento para obtenção e medição de propriedades físico-químicas de fluídos de reservatórios.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;CARACTERIZAÇÃO E PROCESSAMENTO DE FLUIDOS PRODUZIDOS;UFRJ - LATCA - Laboratório de Termodinâmica e Cinética Aplicada ;;;;;;;;0369/2017;12/04/2018;36; R$ 3,708,945.20 
20338-0;Centro de Petroleômica da UFG: novos horizontes para a indústria do petróleo;PETROBRAS;;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;Implementar um centro de petroleômica na UFG e desenvolver novos métodos e protocolos de análise de petróleos e derivados pela aplicação de novos desenvolvimentos instrumentais de FT-ICR MS, o 7T SolariX 2XR. A ideia norteadora é realizar desenvolvimentos analíticos com finalidade de preencher lacunas que ainda persistem em petroleômica.;TEMAS TRANSVERSAIS;AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE;METODOLOGIAS E SISTEMAS DE CONTROLE DA QUALIDADE;UFG - Instituto de Química;;;;;;;;0089/2018;12/04/2018;24; R$ 5,833,245.64 
20426-3;Avaliação Experimental e Modelagem Numérica de Problemas de Geomecânica de Reservatórios.;PETROBRAS;;PESQUISA BÁSICA;O objetivo do Termo de Cooperação é a determinação de propriedades mecânicas e hidráulicas de rochas empregando ensaios de laboratório associada à execução de simulações numéricas a fim de gerar uma coletânea de dados confiáveis para a introdução em modelos da análise geomecânica.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;ENGENHARIA DE POÇO;ESTABILIDADE DE POÇOS;PUC-Rio - Grupo de Tecnologia e Engenharia de Petroleo - GTEP;;;;;;;;;12/04/2018;36; R$ 4,097,087.06 
20427-1;Desenvolvimento de medidor perfilador capacitivo de nível e interface água-óleo;PETROBRAS;;PESQUISA APLICADA;Desenvolver um instrumento baseado na variação da capacitância, capaz de medir as interfaces entre substâncias não miscíveis (água, óleo), em dutos e reservatórios de armazenamento e processamento de petróleo e seus subprodutos.;TEMAS TRANSVERSAIS;AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE;AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA;CERTI - CENTRO DE METROLOGIA E INSTRUMENTAÇÃO - CMI;;;;;;;;;29/03/2018;30; R$ 1,605,404.80 
